text,label
Excellent service on my credit card query.,Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
Excellent service on my credit card query.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
Excellent service on my credit card query.,Positive Feedback
Thanks for resolving my credit card issue.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
Excellent service on my credit card query.,Positive Feedback
Thanks for resolving my credit card issue.,Positive Feedback
Excellent service on my credit card query.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
Thanks for resolving my credit card issue.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
Thanks for resolving my credit card issue.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
Thanks for resolving my credit card issue.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
Excellent service on my credit card query.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
Thanks for resolving my credit card issue.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
Your support team was very helpful with my FD renewal.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
Great job helping me with my net banking login.,Positive Feedback
Thanks for resolving my credit card issue.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I appreciate the timely update on my ticket.,Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
I’m happy with the way you resolved my cheque clearance problem.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
I’m satisfied with the way you handled my complaint.,Positive Feedback
Thank you for sorting out my UPI issue so quickly.,Positive Feedback
"The mobile app issue was fixed quickly, thanks!",Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
I appreciate the quick response on my loan query.,Positive Feedback
Excellent service on my credit card query.,Positive Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
The cheque clearance is taking too long.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
The cheque clearance is taking too long.,Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
"Hey, my credit card limit has not increased yet. I want to know about the details.",Negative Feedback
My UPI transactions keep failing.,Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My online banking app keeps crashing when I try to log in.,Negative Feedback
The cheque clearance is taking too long.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My UPI transactions keep failing.,Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
My online banking app keeps crashing when I try to log in.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
The cheque clearance is taking too long.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
"Hey, my credit card limit has not increased yet. I want to know about the details.",Negative Feedback
"Hey, my credit card limit has not increased yet. I want to know about the details.",Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
"Hey, my credit card limit has not increased yet. I want to know about the details.",Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My loan application is stuck without updates.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
"Hey, my credit card limit has not increased yet. I want to know about the details.",Negative Feedback
My UPI transactions keep failing.,Negative Feedback
My online banking app keeps crashing when I try to log in.,Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
My online banking app keeps crashing when I try to log in.,Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
My online banking app keeps crashing when I try to log in.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
"Hey, my credit card limit has not increased yet. I want to know about the details.",Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My UPI transactions keep failing.,Negative Feedback
"Hey, my credit card limit has not increased yet. I want to know about the details.",Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
My online banking app keeps crashing when I try to log in.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
I’m unhappy with the way my issue was handled.,Negative Feedback
I reported a fraud last week but no one has contacted me yet.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
The support team didn’t resolve my complaint properly.,Negative Feedback
"I’m still waiting for my account statement, it’s been delayed.",Negative Feedback
My UPI transactions keep failing.,Negative Feedback
My UPI transactions keep failing.,Negative Feedback
My loan application is stuck without updates.,Negative Feedback
My debit card replacement still hasn’t arrived.,Negative Feedback
What is the current status of ticket 650932?,Query
Could you check the status of ticket 469873?,Query
Where can I download my account statement?,Query
Can you tell me when my loan application will be approved?,Query
How do I apply for a new debit card online?,Query
What is the process to reset my net banking password?,Query
How do I apply for a new debit card online?,Query
What is the process to reset my net banking password?,Query
What is the process to reset my net banking password?,Query
Could you check the status of ticket 469873?,Query
What is the current status of ticket 650932?,Query
Can you tell me the interest rate on personal loans?,Query
Where can I download my account statement?,Query
Where can I download my account statement?,Query
Can you tell me when my loan application will be approved?,Query
How can I increase my credit card limit?,Query
How can I increase my credit card limit?,Query
How can I increase my credit card limit?,Query
How do I apply for a new debit card online?,Query
What is the process to reset my net banking password?,Query
Can you tell me the interest rate on personal loans?,Query
What is the current status of ticket 650932?,Query
How do I activate international transactions on my debit card?,Query
Where can I download my account statement?,Query
Can you please update me on ticket 784521?,Query
How do I apply for a new debit card online?,Query
How can I increase my credit card limit?,Query
Where can I download my account statement?,Query
What is the current status of ticket 650932?,Query
What is the process to reset my net banking password?,Query
Could you check the status of ticket 469873?,Query
Can you please update me on ticket 784521?,Query
Can you please update me on ticket 784521?,Query
How do I activate international transactions on my debit card?,Query
How do I apply for a new debit card online?,Query
Could you check the status of ticket 469873?,Query
Can you please update me on ticket 784521?,Query
Can you please update me on ticket 784521?,Query
How can I increase my credit card limit?,Query
How do I apply for a new debit card online?,Query
Can you please update me on ticket 784521?,Query
Where can I download my account statement?,Query
What is the current status of ticket 650932?,Query
Can you please update me on ticket 784521?,Query
How do I apply for a new debit card online?,Query
Can you please update me on ticket 784521?,Query
How do I activate international transactions on my debit card?,Query
How do I apply for a new debit card online?,Query
Can you tell me when my loan application will be approved?,Query
How do I apply for a new debit card online?,Query
Can you tell me when my loan application will be approved?,Query
How can I increase my credit card limit?,Query
Can you tell me when my loan application will be approved?,Query
Could you check the status of ticket 469873?,Query
Could you check the status of ticket 469873?,Query
Could you check the status of ticket 469873?,Query
How do I activate international transactions on my debit card?,Query
What is the process to reset my net banking password?,Query
Can you tell me the interest rate on personal loans?,Query
How can I increase my credit card limit?,Query
Where can I download my account statement?,Query
How can I increase my credit card limit?,Query
Can you tell me the interest rate on personal loans?,Query
How do I activate international transactions on my debit card?,Query
Can you tell me the interest rate on personal loans?,Query
Can you tell me when my loan application will be approved?,Query
How do I activate international transactions on my debit card?,Query
What is the process to reset my net banking password?,Query
What is the current status of ticket 650932?,Query
Where can I download my account statement?,Query
Can you tell me the interest rate on personal loans?,Query
How can I increase my credit card limit?,Query
Can you please update me on ticket 784521?,Query
Can you tell me the interest rate on personal loans?,Query
Where can I download my account statement?,Query
What is the process to reset my net banking password?,Query
Can you tell me when my loan application will be approved?,Query
How can I increase my credit card limit?,Query
Could you check the status of ticket 469873?,Query
How can I increase my credit card limit?,Query
How do I apply for a new debit card online?,Query
How do I apply for a new debit card online?,Query
Where can I download my account statement?,Query
Can you tell me when my loan application will be approved?,Query
What is the current status of ticket 650932?,Query
Where can I download my account statement?,Query
Could you check the status of ticket 469873?,Query
How can I increase my credit card limit?,Query
How do I activate international transactions on my debit card?,Query
Could you check the status of ticket 469873?,Query
How do I apply for a new debit card online?,Query
Can you please update me on ticket 784521?,Query
What is the process to reset my net banking password?,Query
Can you tell me the interest rate on personal loans?,Query
Where can I download my account statement?,Query
How do I apply for a new debit card online?,Query
What is the process to reset my net banking password?,Query
What is the process to reset my net banking password?,Query
How do I activate international transactions on my debit card?,Query
How do I activate international transactions on my debit card?,Query
